sid,real,predict,prob,flag
2901305025,1,0,0.741455759,2
2010063040006,0,0,0.9820822973,0
2010013140024,0,0,0.9667085978,0
2010011020030,0,0,0.9637193774,0
2908201018,0,0,0.9324922138,0
2010013090023,0,0,0.9095933193,0
2908004031,0,0,0.9705133887,0
2010011010017,1,0,0.9601463297,2
2010051010017,0,0,0.8032942885,0
2010034010016,0,0,0.9680652476,0
2907301007,0,0,0.9623693973,0
2906003004,1,0,0.5251369879,2
2010111030015,0,0,0.9868323246,0
2901307015,0,0,0.9151671793,0
2010060020014,0,0,0.9784300012,0
2901203006,0,0,0.9847294381,0
2010031020019,1,0,0.8975666598,2
2010060060027,1,0,0.6639606038,2
2911102016,0,0,0.9357983048,0
2903203006,0,0,0.8968826896,0
2900103012,0,0,0.8900141734,0
2906007012,0,0,0.855105629,0
2908004035,0,0,0.9503462394,0
2903002016,1,0,0.6945497781,2
2010021040024,0,0,0.9705117058,0
2903301027,0,0,0.9793027709,0
2010054050014,0,0,0.8828769288,0
2010071050003,0,0,0.9757741507,0
2010012020020,0,0,0.8731378722,0
2010011020033,0,0,0.9825387312,0
2901304007,0,0,0.9656493801,0
2010060040011,0,0,0.8631155464,0
2010231040001,1,0,0.6229182106,2
2010021120014,0,0,0.9707472969,0
2010021090026,0,0,0.970492179,0
2907302020,0,0,0.9619941874,0
2903202013,0,0,0.9818198605,0
2910202023,0,0,0.7214999449,0
2010013060029,0,0,0.7862618993,0
2010020040036,0,0,0.9729462574,0
2903303009,0,0,0.9389931957,0
2010073030023,0,0,0.9819832495,0
2010013050020,0,0,0.9095339388,0
2010043030023,0,0,0.9818618946,0
2903004028,1,0,0.9158129844,2
2010063010009,0,0,0.9639505436,0
2902103028,0,0,0.9777125219,0
2010072010009,1,0,0.7038377222,2
2010073040010,0,0,0.9820015551,0
2904301022,1,0,0.5104065159,2
2903202030,0,0,0.9792920122,0
2906006010,0,0,0.8243170274,0
2904102021,0,0,0.9135013399,0
2010060020025,0,0,0.9850944243,0
2010091020005,0,0,0.8772059672,0
2902104021,0,0,0.8932818927,0
2010021070011,0,0,0.941636261,0
2912801010,0,0,0.7395906306,0
2904204004,0,0,0.9783544671,0
2010012030030,0,0,0.9286567624,0
2901304033,0,0,0.9788312598,0
2010033050026,0,0,0.8553742374,0
2010071040022,0,0,0.8659585873,0
2913102016,0,0,0.8692399892,0
2909102014,0,0,0.9346519062,0
2010021070014,0,0,0.8744018067,0
2010231010020,0,0,0.9254084898,0
2912702011,0,0,0.7898282276,0
2907101005,0,0,0.9303041996,0
2904202026,0,0,0.9712989999,0
2905301025,0,0,0.9265364105,0
2903305007,0,0,0.9692219743,0
2902302020,0,0,0.9730133278,0
2010084030007,0,0,0.9202769056,0
2010092020014,0,0,0.8475746005,0
2907201031,0,0,0.9687574747,0
2901310012,0,0,0.7591122741,0
2907305001,1,1,0.4043369695,3
2010054020011,0,0,0.907293595,0
2901306013,0,0,0.9796390196,0
2010012020033,0,0,0.9820851492,0
2010030020011,1,0,0.5304880002,2
2010021090001,1,0,0.9383328189,2
2912701009,0,0,0.7898282276,0
2907105007,0,0,0.9245916914,0
2906007021,0,0,0.9564440231,0
2010021080024,0,0,0.9835565742,0
2908004034,0,0,0.9352747389,0
2913201032,0,0,0.852322144,0
2010012010036,0,0,0.9680312315,0
2010020030002,0,0,0.9704899127,0
2010111010007,0,0,0.9228969011,0
2010042010002,0,0,0.9575681092,0
2010082010025,0,0,0.9192410617,0
2907105025,0,0,0.9853267757,0
2010063040022,0,0,0.9332277811,0
2010063040011,0,0,0.8311657329,0
2904102016,1,0,0.6318459615,2
2010025020025,0,0,0.9489163451,0
2907101024,0,0,0.9783157655,0
2010051050014,0,0,0.9530347957,0
2907201023,1,0,0.927646293,2
2906306032,0,0,0.9430782405,0
2903303018,0,0,0.9595398311,0
2010031030006,0,0,0.9667445122,0
2902004030,0,0,0.9838128892,0
2902302010,0,0,0.9678172906,0
2901306011,0,0,0.894895709,0
2010020020018,0,0,0.984688184,0
2902002024,0,0,0.9695989922,0
2010001040006,0,0,0.9054125153,0
2907305014,1,0,0.6775290526,2
2908005007,0,0,0.9799117589,0
2010033040010,1,0,0.9201851059,2
2901307010,1,0,0.5947963053,2
2908202011,0,0,0.931050209,0
2901312018,1,0,0.5542600899,2
2010054020021,0,0,0.9866674742,0
2010001010002,0,0,0.8099268238,0
2906005014,0,0,0.9618608764,0
2908002021,0,0,0.9424829713,0
2010030040027,0,0,0.9286570497,0
2010020040017,0,0,0.9830984735,0
2904102023,0,0,0.9305865618,0
2010042010010,0,0,0.9617426294,0
2901307020,0,0,0.8924421225,0
2904302006,0,0,0.9813069945,0
2902112001,0,0,0.9735947671,0
2913103016,0,0,0.8054540912,0
2010073010018,0,0,0.8619508421,0
2010051050009,0,0,0.9339688072,0
2010054020028,0,0,0.9840658753,0
2010013060032,0,0,0.9783715305,0
2010080060016,0,0,0.9762116593,0
2905403027,1,0,0.7689575637,2
2905202014,1,0,0.6079538695,2
2010104010011,0,0,0.9137638295,0
2010060040027,0,0,0.8743411591,0
2010111020027,0,0,0.9809613866,0
2010054030022,0,0,0.9776017351,0
2912601015,0,0,0.9214328818,0
2010127030015,0,0,0.9377685674,0
2901309021,0,0,0.9260989451,0
2902108010,0,0,0.9357878248,0
2010101020024,0,0,0.873842658,0
2010060040009,0,0,0.8752605079,0
2010131030010,0,0,0.8966585069,0
2905105002,0,0,0.7471990854,0
2907305006,0,0,0.9137755968,0
2903102011,0,0,0.9840316367,0
2010021030025,0,0,0.9593474954,0
2902302006,1,0,0.7788567721,2
2010131030013,0,0,0.8671507626,0
2010013030017,0,0,0.8964747151,0
2905302003,0,0,0.9184867821,0
2905103018,0,0,0.925221657,0
2010051050019,1,0,0.8691406731,2
2010023020027,0,0,0.8951002574,0
2901301021,0,0,0.9798241081,0
2010013020007,0,0,0.9153827442,0
2902105004,0,0,0.9677319565,0
2901301032,0,0,0.9865323874,0
2901303005,1,0,0.8823780019,2
2913103030,0,0,0.6945497781,0
2010111020023,0,0,0.9795050045,0
2010021090024,0,0,0.9830204637,0
2010021020009,0,0,0.9597924626,0
2902301030,0,0,0.9654485361,0
2010073050029,0,0,0.939895692,0
2909103011,1,0,0.7844655754,2
2906301016,0,0,0.9055231451,0
2902002008,1,0,0.9225177262,2
2010021070013,0,0,0.9734839401,0
2905403035,0,0,0.9737205824,0
2010023010009,0,0,0.9498305738,0
2907306024,1,0,0.5183742707,2
2010111040011,0,0,0.9783531559,0
2903102022,0,0,0.9464665887,0
2906006035,0,0,0.9745527175,0
2908008008,1,0,0.9464837904,2
2010060030032,0,0,0.9574466783,0
2010080050030,0,0,0.9840574932,0
2905102009,1,1,0.4245989397,3
2905401015,0,0,0.9852561506,0
2906305020,0,0,0.9674839882,0
2902113028,0,0,0.9467754563,0
2010092020007,0,0,0.8163172312,0
2010063020016,0,0,0.9025576972,0
2010073040034,0,0,0.9777931236,0
2010060030003,0,0,0.9676521781,0
2901307019,0,0,0.838031388,0
2902101024,0,0,0.9807024975,0
2906301010,0,0,0.8028990829,0
2909101030,0,0,0.9375418723,0
2010082020024,0,0,0.9791152764,0
2010073040001,0,0,0.9842916701,0
2908401018,0,0,0.9824272291,0
2010063030009,0,0,0.9818284497,0
2010080020017,0,0,0.9832710734,0
2908401017,1,0,0.9250635177,2
2907105001,0,0,0.9833273537,0
